StartSession,17:39:34.4099072
respDelay1.5,17:39:34.4101120
respSize12,17:39:34.4102784
respDelay0.7,17:39:35.5292032
respSize5,17:39:35.5292160
Active,17:39:35.5292288
stimON,17:39:56.2340224
dotsMOVE,17:39:56.7444224
respOPEN,17:39:57.0268928
stimOFF,17:39:58.7253632
respCLOSED,17:40:02.0699008
respDelay0.7,17:40:04.3230848
respSize5,17:40:04.3231104
Active,17:40:04.3231232
stimON,17:40:04.3768960
dotsMOVE,17:40:04.8846720
respOPEN,17:40:05.0886272
stimOFF,17:40:07.3600128
respCLOSED,17:40:10.1064448
stimON,17:40:12.8550528
dotsMOVE,17:40:13.3700480
respOPEN,17:40:13.5571456
stimOFF,17:40:15.8618240
respCLOSED,17:40:18.5598848
respDelay0.5,17:40:20.6918016
respSize1,17:40:20.6918272
Pause,17:40:20.6918400
